abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
abashed;"adj. 1  (ÔÚÈËÇ°) ¸Ð¾õÐßÀ¢µÄ,¾Ö´Ù²»°²µÄ,À§¾½µÄ;";[8n4'b15t] 
abate;vt. »ººÍ,¼õÈõ,¼õÉÙ,·Ï³ývi. »ººÍ,¼õÈõ,¼õÉÙ;[4'beit]
abdicate;vt. ·ÅÆúvi. Ñ·Î»;[1bdi'keit]
abduct;vt. ÓÕ¹Õ,°ó×ß;[1b'd8kt]
abhor;vt. Ô÷¶ñ,Í´ºÞ;[4b'h3:]
abhorrent;a. ÁîÈËÔ÷ºÞµÄ,¿É¶ñµÄ,²»Ò»ÖÂµÄ,Ïà·´µÄ,Ñá¶ñµÄ;[4b'h3r4nt]
ability;n. ÄÜÁ¦,²Å¸É;[4'biliti]
ablaze;a. ×Å»ðµÄ,ÉÁÁÁµÄ,¼¤°ºµÄad. ×Å»ð,ÉÁÒ«;[4'bleiz]
abnormal;a. ²»Õý³£;[1b'n3:m4l]
abolish;vt. ·ÏÖ¹,¸ï³ý,È¡Ïû;[4'b3li5]
aboriginal;a. Ô­Ê¼µÄ,ÍÁÖøµÄn. ÍÁÖø¾ÓÃñ,ÍÁÉúÉúÎï;[1b4'rid94nl]
abortive;a. Á÷²úµÄ,¶éÌ¥µÄ,Ê§°ÜµÄ;[4'b3rtiv]
abridge;vt. É¾½Ú,Ëõ¶Ì,°þ¶á;[4'brid9]
absolute;a. ¾ø¶ÔµÄ,×¨ÖÆµÄ,ÍêÈ«µÄ,¶ÀÁ¢µÄn. ¾ø¶Ô;['1bs4lu:t]
absolve;vt. Ðû¸æ...ÎÞ×ï,ÉâÃâ,Ãâ³ý;[4b'z3lv]
absorb;vt. ÎüÊÕ,²¢ÍÌ,È«Éñ¹á×¢,Í¬»¯;[4b's3:b]
absorbing;a. ÎüÒýÈËµÄ,·Ç³£ÓÐÈ¤µÄ;[4b's3:bi6]
abstain;vi. ×ÔÖÆ,½ä¾ø,ÆúÈ¨,±ÜÃâ;[4b'stein]
abstinence;n. ½ÚÖÆ,½ûÓû,½ä¾Æ;['1bstin4ns]
abstract;n. ÕªÒª,³éÏóa. ³éÏóµÄ,Éî°ÂµÄvt. ÕªÒª,ÌáÁ¶,Ê¹³éÏó»¯;['1bstr1kt]
abstraction;n. ³éÏó»¯,ÐÄ²»ÔÚÑÉ,ÌáÁ¶,³éÏóÅÉ×÷Æ·;[1b'str1k54n]
abstruse;a. ÄÑ½âµÄ,Éî°ÂµÄ;[1b'stru:s]
absurd;a. »ÄÃýµÄ,²»ºÏÀíµÄ,¿ÉÐ¦µÄ;[4b's4:d]
